feature,rf_importance,mutual_info,combined_score
V6,0.11105622790438602,0.020695233227802312,0.06587573056609416
V19,0.08714290982574985,0.017665321313110605,0.052404115569430226
V21,0.053619046327259674,0.008401839908074304,0.03101044311766699
V24,0.054530748760532356,0.006081215651510208,0.030305982206021282
V5,0.046794943710683067,0.003788252460197983,0.025291598085440525
V13,0.0451163999360249,0.000693848109489803,0.02290512402275735
V1,0.04078124758445526,0.003129431521924131,0.021955339553189696
V17,0.03692156484012542,0.0030257845491103996,0.01997367469461791
V2,0.039172919502154846,0.0002951599369322988,0.019734039719543572
V25,0.03133076595267483,0.00314988585008269,0.01724032590137876
V18,0.03411356225212523,0.0,0.017056781126062615
V15,0.03373160999663813,0.0,0.016865804998319064
V7,0.02899102250241088,8.882602660476024e-05,0.01453992426450782
V28,0.028871237228315198,0.0,0.014435618614157599
V22,0.028474459444820837,0.0,0.014237229722410418
V23,0.026914273060406082,0.0014874558479178734,0.014200864454161978
V8,0.027696845006136075,0.0,0.013848422503068038
V14,0.02197650017789115,0.0030229974587827613,0.012499748818336955
V9,0.02339761318575373,0.0,0.011698806592876865
V27,0.020768886006852283,0.0,0.010384443003426141
V3,0.018893445822070365,0.0009209513184524898,0.009907198570261427
Transaction_Amount,0.019466930308909048,0.0,0.009733465154454524
V26,0.018893272153408143,0.0,0.009446636076704071
V20,0.018809818280207682,0.0,0.009404909140103841
Time_of_Day,0.01851588015314867,0.0,0.009257940076574335
V4,0.0182736215669763,0.0,0.00913681078348815
V11,0.016744502019483014,0.0008400284165086536,0.008792265217995834
V16,0.01722954530079711,0.0,0.008614772650398554
V12,0.016401347316726454,0.0007320206417988917,0.008566683979262673
V10,0.01536885387287752,0.0011539456439786377,0.00826139975842808
