feature,legit_mean,fraud_mean,mean_difference,t_statistic,p_value,cohen_d,significant
V1,-1.0180733573757539,-0.12088304504934726,-0.8971903123264067,-6.45060812762105,5.375689454125413e-10,0.4201380055470165,True
V2,0.009453961076398476,0.7266316480096913,-0.7171776869332928,-6.0227734389925,5.698853180300564e-09,0.3649895019342284,True
V3,-0.008043742957191192,-0.011247955650968762,0.00320421269377757,0.05093448583744313,0.9594165066165543,0.0032467663944384163,False
V4,-0.014718825860398995,-0.017803641473714642,0.0030848156133156477,0.048781956288865676,0.9611301712953961,0.0030982455088429104,False
V5,-0.010157069544944622,-0.7696267911984701,0.7594697216535254,6.658677178908543,1.6146103008177623e-10,0.4261046333782674,True
V6,-0.947022974764478,0.9901362221168761,-1.9371591968813542,-12.51782171433892,2.4645931171844906e-28,0.942173138015557,True
V7,-1.0875278715339918,-0.01978164786602815,-1.0677462236679636,-3.8848893608870436,0.00012999015002083028,0.25991004428013964,True
V8,0.027584414997067774,0.7425332810797433,-0.7149488660826755,-4.998931462493662,1.055228219984353e-06,0.3177527831717396,True
V9,-0.014261652941409938,-0.08883413691197253,0.0745724839705626,0.5480523995313503,0.5841211892929701,0.03458118550421221,False
V10,0.0011064846536896213,0.028421224255957733,-0.02731473960226811,-0.431686752745296,0.6663239955708112,0.02756973939301499,False
V11,0.019174439197635628,0.08826249714473164,-0.06908805794709601,-1.089779173259778,0.276810789768389,0.06940200251356236,False
V12,0.01245579933995769,0.04341129947400157,-0.030955500134043877,-0.4647044856011952,0.6425305141641291,0.03027797485484381,False
V13,0.7563833367241026,-1.111472412794131,1.8678557495182335,6.855866394332856,5.1656676698035456e-11,0.46258585429579824,True
V14,0.8531654262942102,0.7123717753324365,0.14079365096177376,0.5786316317499554,0.5633295716642497,0.03528160583264186,False
V15,-0.4665728098345727,-0.41391390121387817,-0.052658908620694556,-0.26136521272520996,0.7940159232855678,0.016605548997689734,False
V16,0.013530488956952939,0.05137711541554497,-0.03784662645859203,-0.5953702235096671,0.5521101104264594,0.0381494962303736,False
V17,1.3561620963815622,0.234252960634839,1.1219091357467232,5.848034030961807,1.4715804992988534e-08,0.36815853533591153,True
V18,-0.42913073487136155,0.5504924355019661,-0.9796231703733277,-4.757173125072145,3.2233998547195465e-06,0.28472202435694643,True
V19,0.9834986275513204,-0.7342375928332272,1.7177362203845477,12.657078013067979,7.87371079179282e-29,0.9276182372417197,True
V20,-0.0025919431627803424,-0.06082707371089815,0.058235130548117804,0.8545530960806854,0.39358420825573304,0.05636586365201876,False
V21,1.9868790355426265,-0.32709979182576476,2.3139788273683912,7.43447544356384,1.5638303764609634e-12,0.5265764919076303,True
V22,-1.3154761180135874,-0.3834284420003529,-0.9320476760132346,-4.88983411416573,1.7520187311569052e-06,0.2975904397283943,True
V23,0.96619449302632,0.9901610608984165,-0.0239665678720965,-0.12672516708675927,0.8992524650326795,0.007217630931985266,False
V24,1.0049903914528155,0.25437551133365544,0.7506148801191601,6.474523775437441,4.776512112309536e-10,0.4502730513471114,True
V25,-0.9796756719799112,-0.26449742634811385,-0.7151782456317974,-5.1659448545306486,4.782831625568945e-07,0.3528081635364883,True
V26,0.0026426788302322305,0.05599760879859924,-0.05335492996836701,-0.7712368723786025,0.44126734539051793,0.05141478912230389,False
V27,0.010803205972656988,-0.0683721890054765,0.07917539497813349,1.2088831860781757,0.22780072828080772,0.07841887726476912,False
V28,-0.00074132954014333,-0.10686338046880323,0.1061220509286599,0.8305755058169204,0.4069595035277377,0.050018262326576926,False
Transaction_Amount,22.542363510415992,22.795426211674545,-0.25306270125855335,-0.3364349331179474,0.7368111336726246,0.021122607885954544,False
Time_of_Day,12.024846248895104,11.987443731316493,0.03740251757861124,0.08583144304995724,0.9316659202956994,0.005472635795746511,False
